value,datetime,datetime_utc,tz_time,geo_id,geo_name
30656.0,2024-01-03T13:45:00.000+01:00,2024-01-03T12:45:00Z,2024-01-03T12:45:00.000Z,8741,Península
30454.0,2024-01-03T14:00:00.000+01:00,2024-01-03T13:00:00Z,2024-01-03T13:00:00.000Z,8741,Península
30354.0,2024-01-03T14:15:00.000+01:00,2024-01-03T13:15:00Z,2024-01-03T13:15:00.000Z,8741,Península
30260.0,2024-01-03T14:30:00.000+01:00,2024-01-03T13:30:00Z,2024-01-03T13:30:00.000Z,8741,Península
30180.0,2024-01-03T14:45:00.000+01:00,2024-01-03T13:45:00Z,2024-01-03T13:45:00.000Z,8741,Península
30505.0,2024-01-03T15:00:00.000+01:00,2024-01-03T14:00:00Z,2024-01-03T14:00:00.000Z,8741,Península
30470.0,2024-01-03T15:15:00.000+01:00,2024-01-03T14:15:00Z,2024-01-03T14:15:00.000Z,8741,Península
30462.0,2024-01-03T15:30:00.000+01:00,2024-01-03T14:30:00Z,2024-01-03T14:30:00.000Z,8741,Península
30483.0,2024-01-03T15:45:00.000+01:00,2024-01-03T14:45:00Z,2024-01-03T14:45:00.000Z,8741,Península
30662.0,2024-01-03T16:00:00.000+01:00,2024-01-03T15:00:00Z,2024-01-03T15:00:00.000Z,8741,Península
30740.0,2024-01-03T16:15:00.000+01:00,2024-01-03T15:15:00Z,2024-01-03T15:15:00.000Z,8741,Península
30860.0,2024-01-03T16:30:00.000+01:00,2024-01-03T15:30:00Z,2024-01-03T15:30:00.000Z,8741,Península
31029.0,2024-01-03T16:45:00.000+01:00,2024-01-03T15:45:00Z,2024-01-03T15:45:00.000Z,8741,Península
30700.0,2024-01-03T17:00:00.000+01:00,2024-01-03T16:00:00Z,2024-01-03T16:00:00.000Z,8741,Península
31018.0,2024-01-03T17:15:00.000+01:00,2024-01-03T16:15:00Z,2024-01-03T16:15:00.000Z,8741,Península
31373.0,2024-01-03T17:30:00.000+01:00,2024-01-03T16:30:00Z,2024-01-03T16:30:00.000Z,8741,Península
31735.0,2024-01-03T17:45:00.000+01:00,2024-01-03T16:45:00Z,2024-01-03T16:45:00.000Z,8741,Península
31927.0,2024-01-03T18:00:00.000+01:00,2024-01-03T17:00:00Z,2024-01-03T17:00:00.000Z,8741,Península
32144.0,2024-01-03T18:15:00.000+01:00,2024-01-03T17:15:00Z,2024-01-03T17:15:00.000Z,8741,Península
32319.0,2024-01-03T18:30:00.000+01:00,2024-01-03T17:30:00Z,2024-01-03T17:30:00.000Z,8741,Península
32468.0,2024-01-03T18:45:00.000+01:00,2024-01-03T17:45:00Z,2024-01-03T17:45:00.000Z,8741,Península
32387.0,2024-01-03T19:00:00.000+01:00,2024-01-03T18:00:00Z,2024-01-03T18:00:00.000Z,8741,Península
32580.0,2024-01-03T19:15:00.000+01:00,2024-01-03T18:15:00Z,2024-01-03T18:15:00.000Z,8741,Península
32768.0,2024-01-03T19:30:00.000+01:00,2024-01-03T18:30:00Z,2024-01-03T18:30:00.000Z,8741,Península
32938.0,2024-01-03T19:45:00.000+01:00,2024-01-03T18:45:00Z,2024-01-03T18:45:00.000Z,8741,Península
33203.0,2024-01-03T20:00:00.000+01:00,2024-01-03T19:00:00Z,2024-01-03T19:00:00.000Z,8741,Península
33300.0,2024-01-03T20:15:00.000+01:00,2024-01-03T19:15:00Z,2024-01-03T19:15:00.000Z,8741,Península
